@relation featureMatrix

@ATTRIBUTE cepstralMostDominantPeak REAL
@ATTRIBUTE cepstralMostDominantPeak_min REAL
@ATTRIBUTE cepstralLocPeak REAL
@ATTRIBUTE cepstralLocPeak_min REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0026839,0.001368,92,86,0
0.0014242,0.00010832,71,65,0
0.0079197,0,139,0,0
0.0098454,0.0019257,145,6,0
0.007827,0,154,15,0
0.014138,0.006311,44,0,0
0.012492,0.0046653,52,8,1
0.018021,0.010194,21,0,1
0.028192,0.020365,126,105,1
0.045276,0.037449,55,34,1
0.10471,0.096879,54,33,1
0.11546,0.10763,53,32,1
0.11348,0.10565,51,30,1
0.13828,0.13046,48,27,1
0.18518,0.17735,47,26,1
0.16821,0.16038,47,26,1
0.17291,0.16508,49,28,1
0.16111,0.15328,47,26,1
0.16077,0.15295,45,24,1
0.195,0.18717,47,26,1
0.1662,0.15837,46,25,1
0.20118,0.19336,43,22,1
0.17556,0.16773,42,21,1
0.18864,0.18082,42,21,1
0.18156,0.17373,43,22,1
0.15956,0.15173,44,23,1
0.14617,0.13834,44,23,1
0.15139,0.14357,45,24,1
0.16544,0.15762,44,23,1
0.14326,0.13543,43,22,1
0.17141,0.16358,41,20,1
0.16823,0.1604,40,19,1
0.14134,0.13351,39,18,1
0.13953,0.13171,39,18,1
0.15876,0.15094,130,109,1
0.15217,0.14435,38,17,1
0.13586,0.12803,38,17,1
0.14477,0.13694,37,16,1
0.14192,0.13409,37,16,1
0.14252,0.1347,36,15,1
0.15426,0.14643,36,15,1
0.14925,0.14143,124,103,1
0.15072,0.14289,35,14,1
0.14981,0.14198,35,14,1
0.14992,0.14209,35,14,1
0.15862,0.15079,36,15,1
0.18081,0.17299,36,15,1
0.15404,0.14622,36,15,1
