@relation featureMatrix

@ATTRIBUTE energy	REAL
@ATTRIBUTE zeroCrossingRate REAL
@ATTRIBUTE corMagPeak REAL
@ATTRIBUTE corPeakCount REAL
@ATTRIBUTE class	{0,1}

@DATA
0.0021091,0.13975,0.17068,148,0
0.0020903,0.17151,0.25743,144,0
0.0025977,0.16697,0.23267,79,0
0.0059693,0.12795,0.25622,71,0
0.009896,0.10073,0.14773,37,0
0.0093519,0.093466,0.46623,40,0
0.0098089,0.091652,0.39508,28,0
0.0092948,0.088022,0.53456,29,0
0.0039703,0.10163,0.37046,34,0
0.0061554,0.11071,0.49236,33,0
0.010871,0.10708,0.56736,27,0
0.0095229,0.11887,0.50325,41,0
0.0030852,0.14247,0.29973,80,0
0.0030796,0.16334,0.25788,76,0
0.0033176,0.18058,0.24524,91,0
0.0034579,0.17877,0.26313,93,0
0.0032117,0.16788,0.28138,87,0
0.0044148,0.15064,0.25813,66,0
0.0053177,0.1225,0.31601,45,0
0.0043745,0.11434,0.2318,42,0
0.00334,0.11887,0.35802,53,0
0.0031538,0.14428,0.27255,85,0
0.0027724,0.15699,0.26234,92,0
0.002768,0.13975,0.3402,84,0
0.0025991,0.15789,0.30215,101,0
0.0023311,0.17332,0.24838,106,0
0.0024711,0.16606,0.24207,106,0
0.0023193,0.16697,0.21349,104,0
0.0023377,0.17695,0.25033,121,0
0.0023125,0.20599,0.22598,117,0
0.0022862,0.21234,0.24067,116,0
0.0024062,0.18875,0.23936,98,0
0.0023731,0.18693,0.34615,109,0
0.0022336,0.19691,0.24763,107,0
0.0021612,0.19691,0.20904,94,0
0.0020674,0.20962,0.20723,114,0
0.0019708,0.22595,0.23891,108,0
0.002127,0.20417,0.19471,128,0
0.0023445,0.1951,0.25544,99,0
0.0031706,0.19873,0.23034,103,0
0.0033438,0.18421,0.30588,105,0
0.0027602,0.19147,0.21078,102,0
0.0025826,0.21416,0.20367,108,0
0.0024155,0.23321,0.22163,138,0
0.0023247,0.24592,0.1626,148,0
0.0073367,0.19419,0.52189,86,0
0.0073703,0.16788,0.54103,56,0
0.00313,0.15971,0.36018,58,0
0.0036676,0.13158,0.34446,58,0
0.0043078,0.14156,0.30295,49,0
0.0040034,0.16606,0.32637,52,0
0.0041943,0.16697,0.52852,45,0
0.0063253,0.13158,0.41812,46,0
0.0060422,0.14156,0.34007,52,0
0.0044084,0.15608,0.35677,57,0
0.0042487,0.15699,0.30017,57,0
0.0045151,0.16062,0.38911,48,0
0.004115,0.17332,0.4466,43,0
0.0029285,0.17332,0.26536,70,0
0.0026975,0.15971,0.42206,45,0
0.0031429,0.14156,0.46812,40,0
0.003852,0.11162,0.74827,38,0
0.0038006,0.1098,0.4287,35,0
0.0031054,0.13521,0.63773,37,0
0.0025663,0.15154,0.38868,97,0
0.002336,0.1343,0.24764,121,0
0.0024366,0.10708,0.39292,66,0
0.00253,0.11071,0.50096,73,0
0.0024259,0.10799,0.34404,82,0
